variable,method,time,vi,train_loss,test_loss
all,full model,19.947214126586914,0.0,0.02403368428349495,0.027873670682311058
X1,dropout,0.0,2.132857644930482,2.1995139122009277,2.160731315612793
X1,lazy,1.5446877479553223,1.0408281926065683,0.9844601154327393,1.0687018632888794
X1,retrain,20.32671809196472,1.0097398404031992,0.9625996351242065,1.0376135110855103
X2,dropout,0.0,1.3588342312723398,1.4389941692352295,1.3867079019546509
X2,lazy,1.3426690101623535,0.6559689287096262,0.691864550113678,0.6838425993919373
X2,retrain,13.63054895401001,0.6576717142015696,0.6796742081642151,0.6855453848838806
X3,dropout,0.0,1.0539822224527597,0.9992440342903137,1.0818558931350708
X3,lazy,1.2360520362854004,1.0408969763666391,0.9813967943191528,1.0687706470489502
X3,retrain,20.899528980255127,1.060683811083436,0.9938114285469055,1.088557481765747
all,full model,12.99986219406128,0.0,0.025494463741779327,0.025533515959978104
X1,dropout,0.0,2.2119955234229565,2.1692559719085693,2.2375290393829346
X1,lazy,1.1947860717773438,1.0977305583655834,1.04124915599823,1.1232640743255615
X1,retrain,15.726052284240723,1.0751518420875072,1.0198733806610107,1.1006853580474854
X2,dropout,0.0,1.3599702529609203,1.4151833057403564,1.3855037689208984
X2,lazy,1.2879831790924072,0.7109261564910412,0.7191842794418335,0.7364596724510193
X2,retrain,15.542924165725708,0.6474287919700146,0.6516916155815125,0.6729623079299927
X3,dropout,0.0,0.9364303164184093,0.9669271111488342,0.9619638323783875
X3,lazy,1.6077523231506348,0.9382888488471508,0.9521406292915344,0.9638223648071289
X3,retrain,18.434004068374634,0.9738923124969006,0.9701589345932007,0.9994258284568787
all,full model,16.367664098739624,0.0,0.0199013389647007,0.01980786956846714
X1,dropout,0.0,2.083593076094985,2.303386688232422,2.103400945663452
X1,lazy,1.1462407112121582,1.1250292714685202,1.0702168941497803,1.1448371410369873
X1,retrain,20.82875108718872,1.050371354445815,0.9881201386451721,1.0701792240142822
X2,dropout,0.0,1.343803470954299,1.4180878400802612,1.3636113405227661
